sample	biome	sample	h	hc	ssu.cnt	ssu.cov
Broiler_Caecum	animal-host	Broiler_Caecum	6.06763519491389	6.40242822057841	10169	0.484781405644715
Gir_Cow_Rumen_IonTorrent	animal-host	Gir_Cow_Rumen_IonTorrent	5.97700894173099	6.12094599705373	833	0.27810650887574
Human_Anterior_nares	animal-host	Human_Anterior_nares	4.53307942957721	4.69988923155525	4022	0.623417721518987
Human_Buccal_mucosa	animal-host	Human_Buccal_mucosa	4.49342135149058	4.57668832417459	86721	0.561151079136691
Human_Medieval_Skeleton	animal-host	Human_Medieval_Skeleton	7.00141518500723	7.24890118794669	4059	0.347125201504567
Human_Rheumatoid_Gut	animal-host	Human_Rheumatoid_Gut	5.72919834989013	5.79957246568106	267972	0.646145887221935
Human_Skin	animal-host	Human_Skin	4.78934827820457	4.99590386541938	6727	0.705779334500876
Human_Stool	animal-host	Human_Stool	6.18274976116103	6.38149791617589	49583	0.58694973462379
Human_Supragingival_plaque	animal-host	Human_Supragingival_plaque	5.49527847285215	5.58129629149745	131085	0.61803084223013
Human_Tongue_dorsum	animal-host	Human_Tongue_dorsum	5.18521737830569	5.25179653376861	179615	0.645590682196339
Kankrej_Cow_Rumen_IonTorrent	animal-host	Kankrej_Cow_Rumen_IonTorrent	6.39369346662998	6.43139054291617	725	0.117088607594937
Mouse_Colitis_Stool	animal-host	Mouse_Colitis_Stool	5.18595523564034	5.3477467811368	20645	0.621421975992613
Mouse_DarkPhase_Stool	animal-host	Mouse_DarkPhase_Stool	3.97030069608119	3.97467814048808	8187510	0.689664429530201
Mouse_Stool	animal-host	Mouse_Stool	4.81157374241866	4.96524425511933	29254	0.625960717335611
Mouse_Stool_NextSeq	animal-host	Mouse_Stool_NextSeq	4.2990358669887	4.5830897009468	4219	0.535087719298246
Pig_Stool	animal-host	Pig_Stool	7.01825724957286	7.27818831300121	48045	0.563220528077352
Pig_Stool_B	animal-host	Pig_Stool_B	6.95677602134993	7.21789482435665	66555	0.559968968192397
Salmon_Faeces	animal-host	Salmon_Faeces	4.76657016165787	4.92663898961811	6781	0.628571428571429
Austria_Petrochemical_Waste	engineered	Austria_Petrochemical_Waste	6.55385798555606	6.93978317929883	5264	0.362609142270159
China_Liquor_20y	engineered	China_Liquor_20y	5.58014484075047	5.74591799048423	83019	0.573905109489051
China_Liquor_220y	engineered	China_Liquor_220y	6.16160497979249	6.36532691726748	81820	0.569025775447794
China_Liquor_440y	engineered	China_Liquor_440y	6.08216776874098	6.32522874426174	83953	0.530852655198205
China_Liquor_50y	engineered	China_Liquor_50y	4.86305963425748	5.00930402596209	105558	0.544720914593141
Denmark_Activated_Sludge	engineered	Denmark_Activated_Sludge	7.09548328740094	7.42958937759842	15244	0.455507325013565
Denmark_Petrochemical_Waste	engineered	Denmark_Petrochemical_Waste	7.1895456409096	7.56448233511285	28544	0.459993131868132
Denmark_Wastewater	engineered	Denmark_Wastewater	5.84566422602282	6.20082121639195	8705	0.42764857881137
France_Cheese	engineered	France_Cheese	4.93839188212691	5.21297121912243	643	0.387832699619772
Germany_Petrochemical_Waste	engineered	Germany_Petrochemical_Waste	6.39131559315464	6.70160664725935	37194	0.500119703136222
Italy_Broiler_Meat	engineered	Italy_Broiler_Meat	4.38955514529404	4.59447041956362	16581	0.538636363636364
Kimchi_454	engineered	Kimchi_454	6.48504849693905	6.53998558005855	897	0.200842696629214
Russia_Petrochemical_Waste	engineered	Russia_Petrochemical_Waste	2.506808267737	2.57295786921769	7014	0.584905660377358
Salmon_Feed	engineered	Salmon_Feed	4.38512646948687	4.7045089072777	567	0.385026737967914
Sweden_Activated_Sludge	engineered	Sweden_Activated_Sludge	7.33177653975011	7.63931145957991	39687	0.519739971460282
Sweden_Primary_Sludge	engineered	Sweden_Primary_Sludge	6.79417917685928	7.07176183456633	112408	0.507091808686091
Sweden_Wastewater	engineered	Sweden_Wastewater	5.8777903755985	6.18600868914945	43226	0.492779783393502
Methanesulfonate_Enrichment	enrichment	Methanesulfonate_Enrichment	6.35097963879724	6.6894674416836	5045	0.384154460719041
Naphtalene_Enrichment	enrichment	Naphtalene_Enrichment	3.49310322054319	3.74436051500773	207	0.484375
Oil_Enrichment	enrichment	Oil_Enrichment	3.92124840191594	4.01245657170655	33511	0.5408
