Tag	1_lambda	BioSample	BioSpecimen	Chao1	Chao1_LB	Chao1_UL	Hprime	Molecule	MoleculeType	Obs	Site	WGS_Hprime	qD	site_norm
SRS015981	92.794627471547	SRS015981	700024636	1789.66993464052	1606.57583442872	2023.28342961182	5.54296783502561	DNA	G	943	Saliva		943	saliva
SRS024150	13.0230074637583	SRS024150	700100618	1700.22	1468.13635530283	2006.37890959504	4.31046334326451	DNA	G	741	Anterior nares		741	anterior_nares
SRS051786	9.02684556153299	SRS051786	700108103	4601.32461538462	4254.99139530767	5008.08464618347	4.33973632733419	DNA	G	2270	Buccal mucosa		2270	buccal_mucosa
SRS022912	55.9571055464541	SRS022912	700098942	2320.62760416667	2097.94795039188	2596.68616704431	5.56258554721123	DNA	G	1169	Palatine Tonsils		1169	palatine_tonsils
SRS017390	3.31243210038139	SRS017390	700034096	798.666666666667	685.546651072514	962.255256284153	2.56464981715451	DNA	G	432	R_Retroauricular crease		432	right_retroauricular_crease
SRS052942	10.2963590338475	SRS052942	700038961	990.733766233766	845.746845487271	1192.88285559029	3.79106975799718	DNA	G	478	Buccal mucosa		478	buccal_mucosa
SRS049103	82.7233560090704	SRS049103	700105879	834.7578125	697.388703436625	1031.76960766403	5.26636805798829	DNA	G	381	L_Antecubital fossa		381	left_antecubital_fossa
SRS018672	12.7253017506391	SRS018672	700037139	530.705128205128	438.255872260112	678.204571948954	3.20171457925463	DNA	G	283	Vaginal introitus		283	vaginal_introitus
SRS017019	79.9094491619141	SRS017019	700033532	2460.50347222222	2160.71782089491	2837.58340349148	5.65610821246972	DNA	G	998	Palatine Tonsils		998	palatine_tonsils
SRS023300	2.24064993938863	SRS023300	700099462	366.25	301.420266234472	477.053067176412	1.81960098798665	DNA	G	210	Mid vagina		210	mid_vagina
SRS013631	32.8205128205128	SRS013631	700016709	380.02380952381	280.749714901315	558.298853133741	4.27861865306735	DNA	G	156	R_Antecubital fossa		156	right_antecubital_fossa
SRS012985	20.7064387280961	SRS012985	700015269	2318.81012658228	2073.74349305942	2626.71543523331	4.79071558566402	DNA	G	1118	Buccal mucosa		1118	buccal_mucosa
SRS018931	7.04739924599324	SRS018931	700037400	1087.10256410256	936.199901639985	1296.66473019226	3.44586768161708	DNA	G	548	L_Retroauricular crease		548	left_retroauricular_crease
SRS014415	12.9621966615234	SRS014415	700023069	1135.48026315789	980.888236107746	1350.59243905581	3.63340828909571	DNA	G	586	Posterior fornix		586	posterior_fornix
SRS058708	9.36897428813536	SRS058708	700106487	922.597402597403	809.062760266543	1083.33773125698	3.53467949496119	DNA	G	536	R_Retroauricular crease		536	right_retroauricular_crease
SRS042682	7.26937327494204	SRS042682	700103560	529.884615384615	435.08080447951	680.833587424773	3.2058168477921	DNA	G	275	R_Retroauricular crease		275	right_retroauricular_crease
SRS016393	320.574003276896	SRS016393	700032080	2546.5632183908	2266.67889195308	2893.47642395424	6.44885632748748	DNA	G	1098	Supragingival plaque		1098	supragingival_plaque
SRS012968	8.42875678681249	SRS012968	700015242	833.876923076923	734.576603254101	979.130778221757	3.64178864719926	DNA	G	520	Posterior fornix		520	posterior_fornix
SRS015537	21.0844209395768	SRS015537	700024192	1107.40588235294	956.565842144385	1314.62511860351	4.37094172014595	DNA	G	553	Tongue dorsum		553	tongue_dorsum
SRS018423	15.4418308531573	SRS018423	700035857	980.677777777778	790.620816108561	1262.73609851133	4.18672193835701	DNA	G	398	R_Retroauricular crease		398	right_retroauricular_crease
SRS055506	39.3392702771554	SRS055506	700105211	2590.9754601227	2304.64968836048	2947.63320931679	5.34953842930825	DNA	G	1139	Saliva		1139	saliva
SRS045010	5.76295373525155	SRS045010	700103486	1309.52348993289	1207.31580205431	1444.54893738879	2.90692335721038	DNA	G	889	Mid vagina		889	mid_vagina
SRS021163	26.1008620283107	SRS021163	700096710	2387.43103448276	2101.29501328314	2747.70831471472	5.10460449939273	DNA	G	997	Palatine Tonsils		997	palatine_tonsils
SRS017849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.21906189831922	NA	NA
SRS016955	194.879222277149	SRS016955	700033436	2068.7581300813	1922.12747839243	2250.22850090035	6.18481560779021	DNA	G	1305	Stool		1305	stool
SRS017447	2.99403827079923	SRS017447	700034180	1076.23376623377	911.796805112283	1303.87716989932	2.7492706162797	DNA	G	484	L_Retroauricular crease		484	left_retroauricular_crease
SRS019878	82.2645560989039	SRS019878	700038354	1748.70531400966	1621.37007000987	1909.72413198851	5.65674842541516	DNA	G	1140	Stool		1140	stool
SRS012694	9.08898611490903	SRS012694	700014520	1681.69158878505	1455.35945329717	1978.35470621131	4.03032558972479	DNA	G	727	Throat		727	throat
SRS046405	21.3514882871556	SRS046405	700108113	1447	1199.41263809874	1791.21138559178	4.5410534829063	DNA	G	565	Anterior nares		565	anterior_nares
